Year,Percentage Change from Previous Quarter
Sep-1949,10.8
Dec-1949,7.9
Mar-1950,7.7
Jun-1950,7.5
Sep-1950,7.3
Dec-1950,12.2
Mar-1951,14.3
Jun-1951,18.6
Sep-1951,20.5
Dec-1951,23.9
Mar-1952,22.9
Jun-1952,19.6
Sep-1952,17
Dec-1952,10.5
Mar-1953,6.8
Jun-1953,4.9
Sep-1953,4.8
Dec-1953,1.6
Mar-1954,3.2
Jun-1954,1.6
Sep-1954,0
Dec-1954,1.6
Mar-1955,0
Jun-1955,1.5
Sep-1955,1.5
Dec-1955,3.1
Mar-1956,3.1
Jun-1956,6.1
Sep-1956,7.6
Dec-1956,6
Mar-1957,6
Jun-1957,2.9
Sep-1957,1.4
Dec-1957,1.4
Mar-1958,1.4
Jun-1958,0
Sep-1958,0
Dec-1958,1.4
Mar-1959,1.4
Jun-1959,1.4
Sep-1959,2.8
Dec-1959,2.7
Mar-1960,2.7
Jun-1960,4.1
Sep-1960,4.1
Dec-1960,4
Mar-1961,4
Jun-1961,3.9
Sep-1961,1.3
Dec-1961,0
Mar-1962,0
Jun-1962,-1.3
Sep-1962,0
Dec-1962,0
Mar-1963,0
Jun-1963,0
Sep-1963,1.3
Dec-1963,1.3
Mar-1964,2.6
Jun-1964,2.6
Sep-1964,2.5
Dec-1964,3.8
Mar-1965,2.5
Jun-1965,3.8
Sep-1965,3.7
Dec-1965,3.7
Mar-1966,4.9
Jun-1966,3.6
Sep-1966,2.4
Dec-1966,2.4
Mar-1967,2.3
Jun-1967,3.5
Sep-1967,4.7
Dec-1967,3.4
Mar-1968,3.4
Jun-1968,2.2
Sep-1968,2.2
Dec-1968,2.2
Mar-1969,3.3
Jun-1969,3.3
Sep-1969,3.3
Dec-1969,3.3
Mar-1970,2.1
Jun-1970,3.2
Sep-1970,3.2
Dec-1970,5.3
Mar-1971,5.2
Jun-1971,5.2
Sep-1971,7.1
Dec-1971,7
Mar-1972,6.9
Jun-1972,6.9
Sep-1972,5.7
Dec-1972,4.7
Mar-1973,5.6
Jun-1973,8.3
Sep-1973,9.9
Dec-1973,12.5
Mar-1974,14
Jun-1974,14.4
Sep-1974,16.4
Dec-1974,16.7
Mar-1975,17.7
Jun-1975,17
Sep-1975,12
Dec-1975,14.3
Mar-1976,13.1
Jun-1976,12
Sep-1976,13.8
Dec-1976,14.3
Mar-1977,13.3
Jun-1977,13.6
Sep-1977,13.3
Dec-1977,9.4
Mar-1978,8.7
Jun-1978,8
Sep-1978,7.8
Dec-1978,7.6
Mar-1979,8
Jun-1979,8.8
Sep-1979,9.5
Dec-1979,10.2
Mar-1980,10.4
Jun-1980,11
Sep-1980,9.9
Dec-1980,9.2
Mar-1981,9.4
Jun-1981,8.4
Sep-1981,9
Dec-1981,11
Mar-1982,10.8
Jun-1982,10.9
Sep-1982,12.4
Dec-1982,11.3
Mar-1983,11.4
Jun-1983,11.1
Sep-1983,9.2
Dec-1983,8.6
Mar-1984,5.8
Jun-1984,4
Sep-1984,3.7
Dec-1984,2.5
Mar-1985,4.4
Jun-1985,6.6
Sep-1985,7.6
Dec-1985,8.3
Mar-1986,9.2
Jun-1986,8.5
Sep-1986,8.8
Dec-1986,9.6
Mar-1987,9.4
Jun-1987,9.3
Sep-1987,8.3
Dec-1987,7.2
Mar-1988,6.8
Jun-1988,7.2
Sep-1988,7.3
Dec-1988,7.6
Mar-1989,6.8
Jun-1989,7.5
Sep-1989,8
Dec-1989,7.8
Mar-1990,8.7
Jun-1990,7.7
Sep-1990,6.1
Dec-1990,6.9
Mar-1991,4.8
Jun-1991,3.3
Sep-1991,3.1
Dec-1991,1.5
Mar-1992,1.7
Jun-1992,1.2
Sep-1992,0.8
Dec-1992,0.3
Mar-1993,1.2
Jun-1993,1.8
Sep-1993,2.2
Dec-1993,1.8
Mar-1994,1.5
Jun-1994,1.8
Sep-1994,2
Dec-1994,2.6
Mar-1995,3.7
Jun-1995,4.5
Sep-1995,5.1
Dec-1995,5.1
Mar-1996,3.8
Jun-1996,3.1
Sep-1996,2.1
Dec-1996,1.5
Mar-1997,1.4
Jun-1997,0.3
Sep-1997,-0.4
Dec-1997,-0.3
Mar-1998,-0.1
Jun-1998,0.7
Sep-1998,1.4
Dec-1998,1.5
Mar-1999,1.2
Jun-1999,1
Sep-1999,1.8
Dec-1999,1.9
Mar-2000,2.8
Jun-2000,3.1
Sep-2000,6.1
Dec-2000,5.8
Mar-2001,6
Jun-2001,6.1
Sep-2001,2.5
Dec-2001,3.1
Mar-2002,3
Jun-2002,2.8
Sep-2002,3.2
Dec-2002,2.9
Mar-2003,3.3
Jun-2003,2.6
Sep-2003,2.6
Dec-2003,2.4
Mar-2004,2
Jun-2004,2.5
Sep-2004,2.3
Dec-2004,2.5
Mar-2005,2.4
Jun-2005,2.5
Sep-2005,3.1
Dec-2005,2.8
Mar-2006,2.9
Jun-2006,4
Sep-2006,4
Dec-2006,3.3
Mar-2007,2.5
Jun-2007,2.1
Sep-2007,1.8
Dec-2007,2.9
Mar-2008,4.3
Jun-2008,4.4
Sep-2008,5
Dec-2008,3.7
Mar-2009,2.4
Jun-2009,1.4
Sep-2009,1.2
Dec-2009,2.1
Mar-2010,2.9
Jun-2010,3.1
Sep-2010,2.9
Dec-2010,2.8
Mar-2011,3.3
Jun-2011,3.5
Sep-2011,3.4
Dec-2011,3
Mar-2012,1.6
Jun-2012,1.2
Sep-2012,2
Dec-2012,2.2
Mar-2013,2.5
Jun-2013,2.4
Sep-2013,2.2
Dec-2013,2.7
Mar-2014,2.9
Jun-2014,3
Sep-2014,2.3
Dec-2014,1.7
Mar-2015,1.3
Jun-2015,1.5
Sep-2015,1.5
Dec-2015,1.7
Mar-2016,1.3
Jun-2016,1
Sep-2016,1.3
Dec-2016,1.5
Mar-2017,2.1
Jun-2017,1.9
Sep-2017,1.8
Dec-2017,1.9
Mar-2018,1.9
Jun-2018,2.1
Sep-2018,1.9
Dec-2018,1.8
Mar-2019,1.3
Jun-2019,1.6
Sep-2019,1.7
Dec-2019,1.8
Mar-2020,2.2
Jun-2020,-0.3
Sep-2020,0.7
Dec-2020,0.9
Mar-2021,1.1
Jun-2021,3.8
Sep-2021,3
Dec-2021,3.5
Mar-2022,5.1
